original_currency;target_currency;31/01/2024;29/02/2024;31/03/2024
EUR;USD;1.0989010989011;1.28571428571429;1.10571428571429
ILS;USD;0.280112044817927;0.291316526610644;0.332100840336135
QAR;USD;0.269541778975741;0.261455525606469;0.214393530997305
CAD;USD;0.8;0.744;0.61008
ISK;USD;0.00790014220255965;0.0066361194501501;0.00729973139516511
AED;USD;0.272479564032698;0.283378746594005;0.277711171662125
KRW;USD;0.00088999644001424;0.000934496262014952;0.000999911000355999
KWD;USD;3.33333333333333;3.96666666666667;3.689
NOK;USD;0.115740740740741;0.12037037037037;0.133611111111111
GIP;USD;1.2987012987013;1.27272727272727;1.28545454545455
SGD;USD;0.72992700729927;0.642335766423358;0.616642335766423
KYD;USD;1.20481927710843;1.40963855421687;1.40963855421687
JPY;USD;0.00919963201471941;0.0078196872125115;0.00867985280588776
GBP;USD;1.35135135135135;1.09459459459459;0.996081081081081
OMR;USD;2.63157894736842;2.94736842105263;2.47578947368421
MYR;USD;0.241545893719807;0.243961352657005;0.290314009661836
DKK;USD;0.147710487444609;0.141802067946824;0.141802067946824
CHF;USD;1.08695652173913;1.23913043478261;1.33826086956522
TWD;USD;0.035778175313059;0.0425760286225402;0.0378926654740608
BHD;USD;2.63157894736842;2.31578947368421;2.66315789473684
HUF;USD;0.0032095516256379;0.00266392784927946;0.00303687774817858
SAR;USD;0.266666666666667;0.264;0.30624
NZD;USD;0.680272108843537;0.789115646258503;0.647074829931973
PLN;USD;0.25974025974026;0.246753246753247;0.246753246753247
HKD;USD;0.12853470437018;0.143958868894602;0.142519280205656
ZAR;USD;0.0670690811535882;0.0657276995305164;0.0565258215962441
XPF;USD;0.00927041809585612;0.00936312227681468;0.00749049782145175
SHP;USD;1.35135135135135;1.27027027027027;1.29567567567568
CZK;USD;0.0450653447498873;0.0387561964849031;0.0344930148715638
SEK;USD;0.11001100110011;0.125412541254125;0.13042904290429
XCD;USD;0.37037037037037;0.42962962962963;0.348
BMD;USD;1;1;1
AUD;USD;0.72992700729927;0.817518248175183;0.752116788321168
FKP;USD;1.35135135135135;1.21621621621622;1.15540540540541